origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-01-19,1,inc hosp,US,quantile,0.01,1936.3557715633879,0-130
2025-01-19,1,inc hosp,US,quantile,0.025,2640.4753323334544,0-130
2025-01-19,1,inc hosp,US,quantile,0.05,3178.718285028413,0-130
2025-01-19,1,inc hosp,US,quantile,0.1,3788.422512577087,0-130
2025-01-19,1,inc hosp,US,quantile,0.15,4206.775458382513,0-130
2025-01-19,1,inc hosp,US,quantile,0.2,4548.881998481264,0-130
2025-01-19,1,inc hosp,US,quantile,0.25,4851.849919960558,0-130
2025-01-19,1,inc hosp,US,quantile,0.3,5134.082282536656,0-130
2025-01-19,1,inc hosp,US,quantile,0.35,5406.794934504183,0-130
2025-01-19,1,inc hosp,US,quantile,0.4,5677.743781710438,0-130
2025-01-19,1,inc hosp,US,quantile,0.45,5953.808236419671,0-130
2025-01-19,1,inc hosp,US,quantile,0.5,6241.822761722704,0-130
2025-01-19,1,inc hosp,US,quantile,0.55,6549.650317660335,0-130
2025-01-19,1,inc hosp,US,quantile,0.6,6886.408908179083,0-130
2025-01-19,1,inc hosp,US,quantile,0.65,7264.346790446123,0-130
2025-01-19,1,inc hosp,US,quantile,0.7,7694.349924020145,0-130
2025-01-19,1,inc hosp,US,quantile,0.75,8189.346559761882,0-130
2025-01-19,1,inc hosp,US,quantile,0.8,8767.937230395184,0-130
2025-01-19,1,inc hosp,US,quantile,0.85,9477.979121289354,0-130
2025-01-19,1,inc hosp,US,quantile,0.9,10425.225991739564,0-130
2025-01-19,1,inc hosp,US,quantile,0.95,11957.967069022892,0-130
2025-01-19,1,inc hosp,US,quantile,0.975,13582.408480282538,0-130
2025-01-19,1,inc hosp,US,quantile,0.99,16215.034587874843,0-130
2025-01-19,2,inc hosp,US,quantile,0.01,1727.0638572173684,0-130
2025-01-19,2,inc hosp,US,quantile,0.025,2295.9312353776086,0-130
2025-01-19,2,inc hosp,US,quantile,0.05,2739.5462828992922,0-130
2025-01-19,2,inc hosp,US,quantile,0.1,3247.321725659962,0-130
2025-01-19,2,inc hosp,US,quantile,0.15,3598.4986846095276,0-130
2025-01-19,2,inc hosp,US,quantile,0.2,3886.5712603608413,0-130
2025-01-19,2,inc hosp,US,quantile,0.25,4142.087478239702,0-130
2025-01-19,2,inc hosp,US,quantile,0.3,4380.387718360862,0-130
2025-01-19,2,inc hosp,US,quantile,0.35,4610.3173970632115,0-130
2025-01-19,2,inc hosp,US,quantile,0.4,4838.509805892305,0-130
2025-01-19,2,inc hosp,US,quantile,0.45,5070.507645322391,0-130
2025-01-19,2,inc hosp,US,quantile,0.5,5312.185778915574,0-130
2025-01-19,2,inc hosp,US,quantile,0.55,5570.6022797691885,0-130
2025-01-19,2,inc hosp,US,quantile,0.6,5853.600776800456,0-130
2025-01-19,2,inc hosp,US,quantile,0.65,6168.885150714516,0-130
2025-01-19,2,inc hosp,US,quantile,0.7,6521.83968973783,0-130
2025-01-19,2,inc hosp,US,quantile,0.75,6906.421232241464,0-130
2025-01-19,2,inc hosp,US,quantile,0.8,7314.598083717843,0-130
2025-01-19,2,inc hosp,US,quantile,0.85,7773.835045576967,0-130
2025-01-19,2,inc hosp,US,quantile,0.9,8374.990156290292,0-130
2025-01-19,2,inc hosp,US,quantile,0.95,9400.087514532592,0-130
2025-01-19,2,inc hosp,US,quantile,0.975,10565.145233545203,0-130
2025-01-19,2,inc hosp,US,quantile,0.99,12618.17756584883,0-130
2025-01-19,3,inc hosp,US,quantile,0.01,1219.930713717471,0-130
2025-01-19,3,inc hosp,US,quantile,0.025,1697.0841862857017,0-130
2025-01-19,3,inc hosp,US,quantile,0.05,2106.472079126499,0-130
2025-01-19,3,inc hosp,US,quantile,0.1,2593.0597110637273,0-130
2025-01-19,3,inc hosp,US,quantile,0.15,2935.2573592673216,0-130
2025-01-19,3,inc hosp,US,quantile,0.2,3219.2896610987373,0-130
2025-01-19,3,inc hosp,US,quantile,0.25,3473.939941913245,0-130
2025-01-19,3,inc hosp,US,quantile,0.3,3713.1327816148273,0-130
2025-01-19,3,inc hosp,US,quantile,0.35,3944.9105265771236,0-130
2025-01-19,3,inc hosp,US,quantile,0.4,4174.968643930491,0-130
2025-01-19,3,inc hosp,US,quantile,0.45,4407.919883559326,0-130
2025-01-19,3,inc hosp,US,quantile,0.5,4648.380770794789,0-130
2025-01-19,3,inc hosp,US,quantile,0.55,4902.084977685339,0-130
2025-01-19,3,inc hosp,US,quantile,0.6,5175.057126892039,0-130
2025-01-19,3,inc hosp,US,quantile,0.65,5472.673245700488,0-130
2025-01-19,3,inc hosp,US,quantile,0.7,5798.359090363125,0-130
2025-01-19,3,inc hosp,US,quantile,0.75,6149.002633711623,0-130
2025-01-19,3,inc hosp,US,quantile,0.8,6522.222580353951,0-130
2025-01-19,3,inc hosp,US,quantile,0.85,6940.723970910352,0-130
