origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-05-04,1,inc hosp,US,quantile,0.01,,0-130
2025-05-04,1,inc hosp,US,quantile,0.025,,0-130
2025-05-04,1,inc hosp,US,quantile,0.05,,0-130
2025-05-04,1,inc hosp,US,quantile,0.1,,0-130
2025-05-04,1,inc hosp,US,quantile,0.15,,0-130
2025-05-04,1,inc hosp,US,quantile,0.2,,0-130
2025-05-04,1,inc hosp,US,quantile,0.25,,0-130
2025-05-04,1,inc hosp,US,quantile,0.3,,0-130
2025-05-04,1,inc hosp,US,quantile,0.35,,0-130
2025-05-04,1,inc hosp,US,quantile,0.4,,0-130
2025-05-04,1,inc hosp,US,quantile,0.45,,0-130
2025-05-04,1,inc hosp,US,quantile,0.5,,0-130
2025-05-04,1,inc hosp,US,quantile,0.55,,0-130
2025-05-04,1,inc hosp,US,quantile,0.6,,0-130
2025-05-04,1,inc hosp,US,quantile,0.65,,0-130
2025-05-04,1,inc hosp,US,quantile,0.7,,0-130
2025-05-04,1,inc hosp,US,quantile,0.75,,0-130
2025-05-04,1,inc hosp,US,quantile,0.8,,0-130
2025-05-04,1,inc hosp,US,quantile,0.85,,0-130
2025-05-04,1,inc hosp,US,quantile,0.9,,0-130
2025-05-04,1,inc hosp,US,quantile,0.95,,0-130
2025-05-04,1,inc hosp,US,quantile,0.975,,0-130
2025-05-04,1,inc hosp,US,quantile,0.99,,0-130
2025-05-04,2,inc hosp,US,quantile,0.01,,0-130
2025-05-04,2,inc hosp,US,quantile,0.025,,0-130
2025-05-04,2,inc hosp,US,quantile,0.05,,0-130
2025-05-04,2,inc hosp,US,quantile,0.1,,0-130
2025-05-04,2,inc hosp,US,quantile,0.15,,0-130
2025-05-04,2,inc hosp,US,quantile,0.2,,0-130
2025-05-04,2,inc hosp,US,quantile,0.25,,0-130
2025-05-04,2,inc hosp,US,quantile,0.3,,0-130
2025-05-04,2,inc hosp,US,quantile,0.35,,0-130
2025-05-04,2,inc hosp,US,quantile,0.4,,0-130
2025-05-04,2,inc hosp,US,quantile,0.45,,0-130
2025-05-04,2,inc hosp,US,quantile,0.5,,0-130
2025-05-04,2,inc hosp,US,quantile,0.55,,0-130
2025-05-04,2,inc hosp,US,quantile,0.6,,0-130
2025-05-04,2,inc hosp,US,quantile,0.65,,0-130
2025-05-04,2,inc hosp,US,quantile,0.7,,0-130
2025-05-04,2,inc hosp,US,quantile,0.75,,0-130
2025-05-04,2,inc hosp,US,quantile,0.8,,0-130
2025-05-04,2,inc hosp,US,quantile,0.85,,0-130
2025-05-04,2,inc hosp,US,quantile,0.9,,0-130
2025-05-04,2,inc hosp,US,quantile,0.95,,0-130
2025-05-04,2,inc hosp,US,quantile,0.975,,0-130
2025-05-04,2,inc hosp,US,quantile,0.99,,0-130
2025-05-04,3,inc hosp,US,quantile,0.01,,0-130
2025-05-04,3,inc hosp,US,quantile,0.025,,0-130
2025-05-04,3,inc hosp,US,quantile,0.05,,0-130
2025-05-04,3,inc hosp,US,quantile,0.1,,0-130
2025-05-04,3,inc hosp,US,quantile,0.15,,0-130
2025-05-04,3,inc hosp,US,quantile,0.2,,0-130
2025-05-04,3,inc hosp,US,quantile,0.25,,0-130
2025-05-04,3,inc hosp,US,quantile,0.3,,0-130
2025-05-04,3,inc hosp,US,quantile,0.35,,0-130
2025-05-04,3,inc hosp,US,quantile,0.4,,0-130
2025-05-04,3,inc hosp,US,quantile,0.45,,0-130
2025-05-04,3,inc hosp,US,quantile,0.5,,0-130
2025-05-04,3,inc hosp,US,quantile,0.55,,0-130
2025-05-04,3,inc hosp,US,quantile,0.6,,0-130
2025-05-04,3,inc hosp,US,quantile,0.65,,0-130
2025-05-04,3,inc hosp,US,quantile,0.7,,0-130
2025-05-04,3,inc hosp,US,quantile,0.75,,0-130
2025-05-04,3,inc hosp,US,quantile,0.8,,0-130
2025-05-04,3,inc hosp,US,quantile,0.85,,0-130
2025-05-04,3,inc hosp,US,quantile,0.9,,0-130
2025-05-04,3,inc hosp,US,quantile,0.95,,0-130
2025-05-04,3,inc hosp,US,quantile,0.975,,0-130
2025-05-04,3,inc hosp,US,quantile,0.99,,0-130
2025-05-04,4,inc hosp,US,quantile,0.01,,0-130
2025-05-04,4,inc hosp,US,quantile,0.025,,0-130
2025-05-04,4,inc hosp,US,quantile,0.05,,0-130
2025-05-04,4,inc hosp,US,quantile,0.1,,0-130
2025-05-04,4,inc hosp,US,quantile,0.15,,0-130
2025-05-04,4,inc hosp,US,quantile,0.2,,0-130
2025-05-04,4,inc hosp,US,quantile,0.25,,0-130
2025-05-04,4,inc hosp,US,quantile,0.3,,0-130
2025-05-04,4,inc hosp,US,quantile,0.35,,0-130
2025-05-04,4,inc hosp,US,quantile,0.4,,0-130
2025-05-04,4,inc hosp,US,quantile,0.45,,0-130
2025-05-04,4,inc hosp,US,quantile,0.5,,0-130
2025-05-04,4,inc hosp,US,quantile,0.55,,0-130
2025-05-04,4,inc hosp,US,quantile,0.6,,0-130
2025-05-04,4,inc hosp,US,quantile,0.65,,0-130
2025-05-04,4,inc hosp,US,quantile,0.7,,0-130
2025-05-04,4,inc hosp,US,quantile,0.75,,0-130
2025-05-04,4,inc hosp,US,quantile,0.8,,0-130
2025-05-04,4,inc hosp,US,quantile,0.85,,0-130
2025-05-04,4,inc hosp,US,quantile,0.9,,0-130
2025-05-04,4,inc hosp,US,quantile,0.95,,0-130
2025-05-04,4,inc hosp,US,quantile,0.975,,0-130
2025-05-04,4,inc hosp,US,quantile,0.99,,0-130
