origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-02-09,1,inc hosp,US,quantile,0.01,891.4324252190802,0-130
2025-02-09,1,inc hosp,US,quantile,0.025,1397.3906353191471,0-130
2025-02-09,1,inc hosp,US,quantile,0.05,1854.0366507140648,0-130
2025-02-09,1,inc hosp,US,quantile,0.1,2370.8134179017743,0-130
2025-02-09,1,inc hosp,US,quantile,0.15,2720.43294431698,0-130
2025-02-09,1,inc hosp,US,quantile,0.2,3011.7215389986354,0-130
2025-02-09,1,inc hosp,US,quantile,0.25,3280.0716873561137,0-130
2025-02-09,1,inc hosp,US,quantile,0.3,3540.5900057076933,0-130
2025-02-09,1,inc hosp,US,quantile,0.35,3800.3599517574016,0-130
2025-02-09,1,inc hosp,US,quantile,0.4,4062.9214828387794,0-130
2025-02-09,1,inc hosp,US,quantile,0.45,4331.020451233697,0-130
2025-02-09,1,inc hosp,US,quantile,0.5,4608.483154706078,0-130
2025-02-09,1,inc hosp,US,quantile,0.55,4901.412168332382,0-130
2025-02-09,1,inc hosp,US,quantile,0.6,5219.112001453578,0-130
2025-02-09,1,inc hosp,US,quantile,0.65,5575.33583275003,0-130
2025-02-09,1,inc hosp,US,quantile,0.7,5993.257487685059,0-130
2025-02-09,1,inc hosp,US,quantile,0.75,6524.27669925795,0-130
2025-02-09,1,inc hosp,US,quantile,0.8,7311.61726199676,0-130
2025-02-09,1,inc hosp,US,quantile,0.85,8929.063409441264,0-130
2025-02-09,1,inc hosp,US,quantile,0.9,25000.0,0-130
2025-02-09,1,inc hosp,US,quantile,0.95,25000.0,0-130
2025-02-09,1,inc hosp,US,quantile,0.975,25000.0,0-130
2025-02-09,1,inc hosp,US,quantile,0.99,25000.0,0-130
2025-02-09,2,inc hosp,US,quantile,0.01,756.8525403667263,0-130
2025-02-09,2,inc hosp,US,quantile,0.025,1155.8458198104604,0-130
2025-02-09,2,inc hosp,US,quantile,0.05,1533.339070358511,0-130
2025-02-09,2,inc hosp,US,quantile,0.1,1981.7645941669962,0-130
2025-02-09,2,inc hosp,US,quantile,0.15,2291.854922237786,0-130
2025-02-09,2,inc hosp,US,quantile,0.2,2549.1089638059443,0-130
2025-02-09,2,inc hosp,US,quantile,0.25,2782.5826222063697,0-130
2025-02-09,2,inc hosp,US,quantile,0.3,3005.387374169245,0-130
2025-02-09,2,inc hosp,US,quantile,0.35,3224.467383279223,0-130
2025-02-09,2,inc hosp,US,quantile,0.4,3443.9800753601767,0-130
2025-02-09,2,inc hosp,US,quantile,0.45,3667.192383308099,0-130
2025-02-09,2,inc hosp,US,quantile,0.5,3897.799429678653,0-130
2025-02-09,2,inc hosp,US,quantile,0.55,4141.079827974555,0-130
2025-02-09,2,inc hosp,US,quantile,0.6,4405.225380242537,0-130
2025-02-09,2,inc hosp,US,quantile,0.65,4702.479311145362,0-130
2025-02-09,2,inc hosp,US,quantile,0.7,5052.169164476292,0-130
2025-02-09,2,inc hosp,US,quantile,0.75,5491.244802025507,0-130
2025-02-09,2,inc hosp,US,quantile,0.8,6114.40012749287,0-130
2025-02-09,2,inc hosp,US,quantile,0.85,7255.050651032623,0-130
2025-02-09,2,inc hosp,US,quantile,0.9,15858.98410479653,0-130
2025-02-09,2,inc hosp,US,quantile,0.95,17247.495290016435,0-130
2025-02-09,2,inc hosp,US,quantile,0.975,19454.163283011814,0-130
2025-02-09,2,inc hosp,US,quantile,0.99,24287.67181298077,0-130
2025-02-09,3,inc hosp,US,quantile,0.01,622.2726555143724,0-130
2025-02-09,3,inc hosp,US,quantile,0.025,914.3010043017737,0-130
2025-02-09,3,inc hosp,US,quantile,0.05,1212.6414900029574,0-130
2025-02-09,3,inc hosp,US,quantile,0.1,1592.715770432218,0-130
2025-02-09,3,inc hosp,US,quantile,0.15,1863.2769001585918,0-130
2025-02-09,3,inc hosp,US,quantile,0.2,2086.496388613253,0-130
2025-02-09,3,inc hosp,US,quantile,0.25,2285.0935570566253,0-130
2025-02-09,3,inc hosp,US,quantile,0.3,2470.1847426307972,0-130
2025-02-09,3,inc hosp,US,quantile,0.35,2648.5748148010452,0-130
2025-02-09,3,inc hosp,US,quantile,0.4,2825.038667881574,0-130
2025-02-09,3,inc hosp,US,quantile,0.45,3003.3643153825014,0-130
2025-02-09,3,inc hosp,US,quantile,0.5,3187.1157046512276,0-130
2025-02-09,3,inc hosp,US,quantile,0.55,3380.7474876167284,0-130
2025-02-09,3,inc hosp,US,quantile,0.6,3591.3387590314956,0-130
2025-02-09,3,inc hosp,US,quantile,0.65,3829.6227895406946,0-130
2025-02-09,3,inc hosp,US,quantile,0.7,4111.080841267527,0-130
2025-02-09,3,inc hosp,US,quantile,0.75,4458.212904793063,0-130
2025-02-09,3,inc hosp,US,quantile,0.8,4917.182992988979,0-130
2025-02-09,3,inc hosp,US,quantile,0.85,5581.037892623983,0-130
2025-02-09,3,inc hosp,US,quantile,0.9,6717.9682095930575,0-130
2025-02-09,3,inc hosp,US,quantile,0.95,9494.99058003287,0-130
2025-02-09,3,inc hosp,US,quantile,0.975,13908.326566023628,0-130
2025-02-09,3,inc hosp,US,quantile,0.99,23575.34362596154,0-130
2025-02-09,4,inc hosp,US,quantile,0.01,622.2726555143724,0-130
2025-02-09,4,inc hosp,US,quantile,0.025,914.3010043017737,0-130
2025-02-09,4,inc hosp,US,quantile,0.05,1212.6414900029574,0-130
2025-02-09,4,inc hosp,US,quantile,0.1,1592.715770432218,0-130
2025-02-09,4,inc hosp,US,quantile,0.15,1863.2769001585918,0-130
2025-02-09,4,inc hosp,US,quantile,0.2,2086.496388613253,0-130
2025-02-09,4,inc hosp,US,quantile,0.25,2285.0935570566253,0-130
2025-02-09,4,inc hosp,US,quantile,0.3,2470.1847426307972,0-130
2025-02-09,4,inc hosp,US,quantile,0.35,2648.5748148010452,0-130
2025-02-09,4,inc hosp,US,quantile,0.4,2825.038667881574,0-130
2025-02-09,4,inc hosp,US,quantile,0.45,3003.3643153825014,0-130
2025-02-09,4,inc hosp,US,quantile,0.5,3187.1157046512276,0-130
2025-02-09,4,inc hosp,US,quantile,0.55,3380.7474876167284,0-130
2025-02-09,4,inc hosp,US,quantile,0.6,3591.3387590314956,0-130
2025-02-09,4,inc hosp,US,quantile,0.65,3829.6227895406946,0-130
2025-02-09,4,inc hosp,US,quantile,0.7,4111.080841267527,0-130
2025-02-09,4,inc hosp,US,quantile,0.75,4458.212904793063,0-130
2025-02-09,4,inc hosp,US,quantile,0.8,4917.182992988979,0-130
2025-02-09,4,inc hosp,US,quantile,0.85,5581.037892623983,0-130
2025-02-09,4,inc hosp,US,quantile,0.9,6717.9682095930575,0-130
2025-02-09,4,inc hosp,US,quantile,0.95,9494.99058003287,0-130
2025-02-09,4,inc hosp,US,quantile,0.975,13908.326566023628,0-130
2025-02-09,4,inc hosp,US,quantile,0.99,23575.34362596154,0-130
