origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-03-02,1,inc hosp,US,quantile,0.01,554.5060927050905,0-130
2025-03-02,1,inc hosp,US,quantile,0.025,727.3179475869666,0-130
2025-03-02,1,inc hosp,US,quantile,0.05,890.7423079662535,0-130
2025-03-02,1,inc hosp,US,quantile,0.1,1134.6788976351036,0-130
2025-03-02,1,inc hosp,US,quantile,0.15,1341.7400918968005,0-130
2025-03-02,1,inc hosp,US,quantile,0.2,1696.0603684408495,0-130
2025-03-02,1,inc hosp,US,quantile,0.25,2087.7485180777785,0-130
2025-03-02,1,inc hosp,US,quantile,0.3,2388.353204762915,0-130
2025-03-02,1,inc hosp,US,quantile,0.35,2653.8719216797945,0-130
2025-03-02,1,inc hosp,US,quantile,0.4,2903.3247724131525,0-130
2025-03-02,1,inc hosp,US,quantile,0.45,3146.3818728549486,0-130
2025-03-02,1,inc hosp,US,quantile,0.5,3389.7607075805117,0-130
2025-03-02,1,inc hosp,US,quantile,0.55,3639.357616752529,0-130
2025-03-02,1,inc hosp,US,quantile,0.6,3901.0850908152497,0-130
2025-03-02,1,inc hosp,US,quantile,0.65,4181.405501304018,0-130
2025-03-02,1,inc hosp,US,quantile,0.7,4490.197497125691,0-130
2025-03-02,1,inc hosp,US,quantile,0.75,4844.239359309539,0-130
2025-03-02,1,inc hosp,US,quantile,0.8,5272.290103555193,0-130
2025-03-02,1,inc hosp,US,quantile,0.85,5833.725432388876,0-130
2025-03-02,1,inc hosp,US,quantile,0.9,6673.45289428218,0-130
2025-03-02,1,inc hosp,US,quantile,0.95,8362.49051661711,0-130
2025-03-02,1,inc hosp,US,quantile,0.975,10601.255388173287,0-130
2025-03-02,1,inc hosp,US,quantile,0.99,15130.314048804888,0-130
2025-03-02,2,inc hosp,US,quantile,0.01,300.0,0-130
2025-03-02,2,inc hosp,US,quantile,0.025,300.0,0-130
2025-03-02,2,inc hosp,US,quantile,0.05,300.0,0-130
2025-03-02,2,inc hosp,US,quantile,0.1,364.2855714789962,0-130
2025-03-02,2,inc hosp,US,quantile,0.15,455.96885123540073,0-130
2025-03-02,2,inc hosp,US,quantile,0.2,881.9861047177546,0-130
2025-03-02,2,inc hosp,US,quantile,0.25,1401.392655273441,0-130
2025-03-02,2,inc hosp,US,quantile,0.3,1746.9852570155147,0-130
2025-03-02,2,inc hosp,US,quantile,0.35,2025.3025584133677,0-130
2025-03-02,2,inc hosp,US,quantile,0.4,2270.6884472600736,0-130
2025-03-02,2,inc hosp,US,quantile,0.45,2499.3396104518215,0-130
2025-03-02,2,inc hosp,US,quantile,0.5,2720.766211208087,0-130
2025-03-02,2,inc hosp,US,quantile,0.55,2942.366724819182,0-130
2025-03-02,2,inc hosp,US,quantile,0.6,3170.6768594783575,0-130
2025-03-02,2,inc hosp,US,quantile,0.65,3411.605831125441,0-130
2025-03-02,2,inc hosp,US,quantile,0.7,3674.358191318198,0-130
2025-03-02,2,inc hosp,US,quantile,0.75,3972.1718446497484,0-130
2025-03-02,2,inc hosp,US,quantile,0.8,4328.578822168068,0-130
2025-03-02,2,inc hosp,US,quantile,0.85,4787.751849710838,0-130
2025-03-02,2,inc hosp,US,quantile,0.9,5458.742899087603,0-130
2025-03-02,2,inc hosp,US,quantile,0.95,6746.906550969993,0-130
2025-03-02,2,inc hosp,US,quantile,0.975,8336.914986010423,0-130
2025-03-02,2,inc hosp,US,quantile,0.99,11271.602494084547,0-130
2025-03-02,3,inc hosp,US,quantile,0.01,300.0,0-130
2025-03-02,3,inc hosp,US,quantile,0.025,300.0,0-130
2025-03-02,3,inc hosp,US,quantile,0.05,300.0,0-130
2025-03-02,3,inc hosp,US,quantile,0.1,346.93939028741886,0-130
2025-03-02,3,inc hosp,US,quantile,0.15,419.7744946787989,0-130
2025-03-02,3,inc hosp,US,quantile,0.2,670.7779964842111,0-130
2025-03-02,3,inc hosp,US,quantile,0.25,1007.9895642728093,0-130
2025-03-02,3,inc hosp,US,quantile,0.3,1292.722325226541,0-130
2025-03-02,3,inc hosp,US,quantile,0.35,1530.6120191744058,0-130
2025-03-02,3,inc hosp,US,quantile,0.4,1738.5208689109443,0-130
2025-03-02,3,inc hosp,US,quantile,0.45,1930.0953004588193,0-130
2025-03-02,3,inc hosp,US,quantile,0.5,2114.0890186723827,0-130
2025-03-02,3,inc hosp,US,quantile,0.55,2297.1450285042474,0-130
2025-03-02,3,inc hosp,US,quantile,0.6,2485.151589834469,0-130
2025-03-02,3,inc hosp,US,quantile,0.65,2683.9430716533216,0-130
2025-03-02,3,inc hosp,US,quantile,0.7,2901.875504890895,0-130
2025-03-02,3,inc hosp,US,quantile,0.75,3150.9264459233755,0-130
2025-03-02,3,inc hosp,US,quantile,0.8,3451.8073416813695,0-130
2025-03-02,3,inc hosp,US,quantile,0.85,3844.481663404127,0-130
2025-03-02,3,inc hosp,US,quantile,0.9,4427.481340235876,0-130
2025-03-02,3,inc hosp,US,quantile,0.95,5573.95933945752,0-130
2025-03-02,3,inc hosp,US,quantile,0.975,7032.592433436352,0-130
2025-03-02,3,inc hosp,US,quantile,0.99,9847.338568893661,0-130
2025-03-02,4,inc hosp,US,quantile,0.01,300.0,0-130
2025-03-02,4,inc hosp,US,quantile,0.025,300.0,0-130
2025-03-02,4,inc hosp,US,quantile,0.05,300.0,0-130
2025-03-02,4,inc hosp,US,quantile,0.1,329.59320909584153,0-130
2025-03-02,4,inc hosp,US,quantile,0.15,383.58013812219696,0-130
2025-03-02,4,inc hosp,US,quantile,0.2,459.5698882506677,0-130
2025-03-02,4,inc hosp,US,quantile,0.25,614.5864732721775,0-130
2025-03-02,4,inc hosp,US,quantile,0.3,838.4593934375674,0-130
2025-03-02,4,inc hosp,US,quantile,0.35,1035.9214799354436,0-130
2025-03-02,4,inc hosp,US,quantile,0.4,1206.353290561815,0-130
2025-03-02,4,inc hosp,US,quantile,0.45,1360.8509904658172,0-130
2025-03-02,4,inc hosp,US,quantile,0.5,1507.411826136678,0-130
2025-03-02,4,inc hosp,US,quantile,0.55,1651.9233321893128,0-130
2025-03-02,4,inc hosp,US,quantile,0.6,1799.6263201905808,0-130
2025-03-02,4,inc hosp,US,quantile,0.65,1956.2803121812021,0-130
2025-03-02,4,inc hosp,US,quantile,0.7,2129.3928184635924,0-130
2025-03-02,4,inc hosp,US,quantile,0.75,2329.6810471970025,0-130
2025-03-02,4,inc hosp,US,quantile,0.8,2575.0358611946717,0-130
2025-03-02,4,inc hosp,US,quantile,0.85,2901.2114770974163,0-130
2025-03-02,4,inc hosp,US,quantile,0.9,3396.2197813841476,0-130
2025-03-02,4,inc hosp,US,quantile,0.95,4401.012127945047,0-130
2025-03-02,4,inc hosp,US,quantile,0.975,5728.269880862282,0-130
2025-03-02,4,inc hosp,US,quantile,0.99,8423.074643702777,0-130
