origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2024-12-22,1,inc hosp,US,quantile,0.01,3040.9340233613843,0-130
2024-12-22,1,inc hosp,US,quantile,0.025,4178.315697773037,0-130
2024-12-22,1,inc hosp,US,quantile,0.05,4917.918410187251,0-130
2024-12-22,1,inc hosp,US,quantile,0.1,5698.237722811666,0-130
2024-12-22,1,inc hosp,US,quantile,0.15,6211.099736130782,0-130
2024-12-22,1,inc hosp,US,quantile,0.2,6618.545195336332,0-130
2024-12-22,1,inc hosp,US,quantile,0.25,6970.891767818297,0-130
2024-12-22,1,inc hosp,US,quantile,0.3,7292.032629785622,0-130
2024-12-22,1,inc hosp,US,quantile,0.35,7595.102290132267,0-130
2024-12-22,1,inc hosp,US,quantile,0.4,7889.216638696643,0-130
2024-12-22,1,inc hosp,US,quantile,0.45,8181.023484745345,0-130
2024-12-22,1,inc hosp,US,quantile,0.5,8477.069396807083,0-130
2024-12-22,1,inc hosp,US,quantile,0.55,8782.54860839181,0-130
2024-12-22,1,inc hosp,US,quantile,0.6,9106.232677348271,0-130
2024-12-22,1,inc hosp,US,quantile,0.65,9455.882582693956,0-130
2024-12-22,1,inc hosp,US,quantile,0.7,9843.906711239653,0-130
2024-12-22,1,inc hosp,US,quantile,0.75,10291.926549613883,0-130
2024-12-22,1,inc hosp,US,quantile,0.8,10831.812438752244,0-130
2024-12-22,1,inc hosp,US,quantile,0.85,11530.153722631756,0-130
2024-12-22,1,inc hosp,US,quantile,0.9,12539.152353399926,0-130
2024-12-22,1,inc hosp,US,quantile,0.95,14381.474255627923,0-130
2024-12-22,1,inc hosp,US,quantile,0.975,16465.92545834865,0-130
2024-12-22,1,inc hosp,US,quantile,0.99,19838.19957440884,0-130
2024-12-22,2,inc hosp,US,quantile,0.01,3350.171282485313,0-130
2024-12-22,2,inc hosp,US,quantile,0.025,4502.523275541056,0-130
2024-12-22,2,inc hosp,US,quantile,0.05,5279.590570816883,0-130
2024-12-22,2,inc hosp,US,quantile,0.1,6112.83127878074,0-130
2024-12-22,2,inc hosp,US,quantile,0.15,6664.065196730461,0-130
2024-12-22,2,inc hosp,US,quantile,0.2,7103.46066197496,0-130
2024-12-22,2,inc hosp,US,quantile,0.25,7483.9223156210555,0-130
2024-12-22,2,inc hosp,US,quantile,0.3,7832.126589531416,0-130
2024-12-22,2,inc hosp,US,quantile,0.35,8161.873509688014,0-130
2024-12-22,2,inc hosp,US,quantile,0.4,8482.85021712781,0-130
2024-12-22,2,inc hosp,US,quantile,0.45,8802.495623695866,0-130
2024-12-22,2,inc hosp,US,quantile,0.5,9128.077224914132,0-130
2024-12-22,2,inc hosp,US,quantile,0.55,9465.52936863367,0-130
2024-12-22,2,inc hosp,US,quantile,0.6,9824.500436442313,0-130
2024-12-22,2,inc hosp,US,quantile,0.65,10214.379914712335,0-130
2024-12-22,2,inc hosp,US,quantile,0.7,10648.905932719905,0-130
2024-12-22,2,inc hosp,US,quantile,0.75,11150.738312941521,0-130
2024-12-22,2,inc hosp,US,quantile,0.8,11755.610594941127,0-130
2024-12-22,2,inc hosp,US,quantile,0.85,12541.191015892913,0-130
2024-12-22,2,inc hosp,US,quantile,0.9,13680.877865293218,0-130
2024-12-22,2,inc hosp,US,quantile,0.95,15795.531704752786,0-130
2024-12-22,2,inc hosp,US,quantile,0.975,18229.097046798557,0-130
2024-12-22,2,inc hosp,US,quantile,0.99,22146.250725030208,0-130
2024-12-22,3,inc hosp,US,quantile,0.01,2730.0193718182772,0-130
2024-12-22,3,inc hosp,US,quantile,0.025,3697.489474951325,0-130
2024-12-22,3,inc hosp,US,quantile,0.05,4385.242601122731,0-130
2024-12-22,3,inc hosp,US,quantile,0.1,5141.452448516743,0-130
2024-12-22,3,inc hosp,US,quantile,0.15,5650.753080772049,0-130
2024-12-22,3,inc hosp,US,quantile,0.2,6062.059665833204,0-130
2024-12-22,3,inc hosp,US,quantile,0.25,6422.679877958997,0-130
2024-12-22,3,inc hosp,US,quantile,0.3,6755.854320711389,0-130
2024-12-22,3,inc hosp,US,quantile,0.35,7074.0804490657665,0-130
2024-12-22,3,inc hosp,US,quantile,0.4,7386.587741536168,0-130
2024-12-22,3,inc hosp,US,quantile,0.45,7700.354743770335,0-130
2024-12-22,3,inc hosp,US,quantile,0.5,8022.127836419357,0-130
2024-12-22,3,inc hosp,US,quantile,0.55,8358.241849467102,0-130
2024-12-22,3,inc hosp,US,quantile,0.6,8717.850314187848,0-130
2024-12-22,3,inc hosp,US,quantile,0.65,9110.480597745305,0-130
2024-12-22,3,inc hosp,US,quantile,0.7,9549.655755920357,0-130
2024-12-22,3,inc hosp,US,quantile,0.75,10059.785902293745,0-130
