origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-01-26,1,inc hosp,US,quantile,0.01,1612.469940076043,0-130
2025-01-26,1,inc hosp,US,quantile,0.025,2186.348073176742,0-130
2025-01-26,1,inc hosp,US,quantile,0.05,2643.6876265842347,0-130
2025-01-26,1,inc hosp,US,quantile,0.1,3171.291528984819,0-130
2025-01-26,1,inc hosp,US,quantile,0.15,3535.7200854150938,0-130
2025-01-26,1,inc hosp,US,quantile,0.2,3833.527497353641,0-130
2025-01-26,1,inc hosp,US,quantile,0.25,4096.466934320709,0-130
2025-01-26,1,inc hosp,US,quantile,0.3,4340.224408787631,0-130
2025-01-26,1,inc hosp,US,quantile,0.35,4574.174230142604,0-130
2025-01-26,1,inc hosp,US,quantile,0.4,4805.09816072984,0-130
2025-01-26,1,inc hosp,US,quantile,0.45,5038.750742756895,0-130
2025-01-26,1,inc hosp,US,quantile,0.5,5280.862993460494,0-130
2025-01-26,1,inc hosp,US,quantile,0.55,5537.798905717827,0-130
2025-01-26,1,inc hosp,US,quantile,0.6,5817.138346690014,0-130
2025-01-26,1,inc hosp,US,quantile,0.65,6128.420127159523,0-130
2025-01-26,1,inc hosp,US,quantile,0.7,6477.393993129137,0-130
2025-01-26,1,inc hosp,US,quantile,0.75,6866.922541672492,0-130
2025-01-26,1,inc hosp,US,quantile,0.8,7292.141918120576,0-130
2025-01-26,1,inc hosp,US,quantile,0.85,7782.236050674384,0-130
2025-01-26,1,inc hosp,US,quantile,0.9,8436.461787832108,0-130
2025-01-26,1,inc hosp,US,quantile,0.95,9604.515425991423,0-130
2025-01-26,1,inc hosp,US,quantile,0.975,11002.447367955609,0-130
2025-01-26,1,inc hosp,US,quantile,0.99,13552.08547547875,0-130
2025-01-26,2,inc hosp,US,quantile,0.01,1130.9346461568407,0-130
2025-01-26,2,inc hosp,US,quantile,0.025,1595.2984497835155,0-130
2025-01-26,2,inc hosp,US,quantile,0.05,2002.390070044229,0-130
2025-01-26,2,inc hosp,US,quantile,0.1,2494.1704033778265,0-130
2025-01-26,2,inc hosp,US,quantile,0.15,2841.3709240312705,0-130
2025-01-26,2,inc hosp,US,quantile,0.2,3128.2805331395957,0-130
2025-01-26,2,inc hosp,US,quantile,0.25,3384.388472308895,0-130
2025-01-26,2,inc hosp,US,quantile,0.3,3623.9339705234515,0-130
2025-01-26,2,inc hosp,US,quantile,0.35,3855.654922258906,0-130
2025-01-26,2,inc hosp,US,quantile,0.4,4085.7803431122857,0-130
2025-01-26,2,inc hosp,US,quantile,0.45,4319.588921135237,0-130
2025-01-26,2,inc hosp,US,quantile,0.5,4562.191818613386,0-130
2025-01-26,2,inc hosp,US,quantile,0.55,4819.126819685891,0-130
