origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-01-12,1,inc hosp,US,quantile,0.01,2145.6476859094073,0-130
2025-01-12,1,inc hosp,US,quantile,0.025,2985.0194292892998,0-130
2025-01-12,1,inc hosp,US,quantile,0.05,3617.8902871575337,0-130
2025-01-12,1,inc hosp,US,quantile,0.1,4329.523299494213,0-130
2025-01-12,1,inc hosp,US,quantile,0.15,4815.052232155498,0-130
2025-01-12,1,inc hosp,US,quantile,0.2,5211.192736601688,0-130
2025-01-12,1,inc hosp,US,quantile,0.25,5561.612361681414,0-130
2025-01-12,1,inc hosp,US,quantile,0.3,5887.776846712451,0-130
2025-01-12,1,inc hosp,US,quantile,0.35,6203.272471945156,0-130
2025-01-12,1,inc hosp,US,quantile,0.4,6516.977757528572,0-130
2025-01-12,1,inc hosp,US,quantile,0.45,6837.10882751695,0-130
2025-01-12,1,inc hosp,US,quantile,0.5,7171.459744529834,0-130
2025-01-12,1,inc hosp,US,quantile,0.55,7528.69835555148,0-130
2025-01-12,1,inc hosp,US,quantile,0.6,7919.217039557709,0-130
2025-01-12,1,inc hosp,US,quantile,0.65,8359.80843017773,0-130
2025-01-12,1,inc hosp,US,quantile,0.7,8866.860158302461,0-130
2025-01-12,1,inc hosp,US,quantile,0.75,9472.2718872823,0-130
2025-01-12,1,inc hosp,US,quantile,0.8,10221.276377072525,0-130
2025-01-12,1,inc hosp,US,quantile,0.85,11182.123197001742,0-130
2025-01-12,1,inc hosp,US,quantile,0.9,12475.461827188834,0-130
2025-01-12,1,inc hosp,US,quantile,0.95,14515.846623513191,0-130
2025-01-12,1,inc hosp,US,quantile,0.975,16599.671727019875,0-130
2025-01-12,1,inc hosp,US,quantile,0.99,19811.891609900857,0-130
2025-01-12,2,inc hosp,US,quantile,0.01,1911.4788452148414,0-130
2025-01-12,2,inc hosp,US,quantile,0.025,2605.236036989998,0-130
2025-01-12,2,inc hosp,US,quantile,0.05,3135.000149656264,0-130
2025-01-12,2,inc hosp,US,quantile,0.1,3732.950210290085,0-130
2025-01-12,2,inc hosp,US,quantile,0.15,4140.175700342184,0-130
2025-01-12,2,inc hosp,US,quantile,0.2,4471.07787294771,0-130
2025-01-12,2,inc hosp,US,quantile,0.25,4761.704328749277,0-130
2025-01-12,2,inc hosp,US,quantile,0.3,5030.526001351358,0-130
2025-01-12,2,inc hosp,US,quantile,0.35,5288.00302199547,0-130
2025-01-12,2,inc hosp,US,quantile,0.4,5541.578958375418,0-130
