origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2024-12-15,1,inc hosp,US,quantile,0.01,2731.6967642374557,0-130
2024-12-15,1,inc hosp,US,quantile,0.025,3854.1081200050176,0-130
2024-12-15,1,inc hosp,US,quantile,0.05,4556.246249557617,0-130
2024-12-15,1,inc hosp,US,quantile,0.1,5283.644166842591,0-130
2024-12-15,1,inc hosp,US,quantile,0.15,5758.1342755311025,0-130
2024-12-15,1,inc hosp,US,quantile,0.2,6133.629728697703,0-130
2024-12-15,1,inc hosp,US,quantile,0.25,6457.8612200155385,0-130
2024-12-15,1,inc hosp,US,quantile,0.3,6751.938670039827,0-130
2024-12-15,1,inc hosp,US,quantile,0.35,7028.33107057652,0-130
2024-12-15,1,inc hosp,US,quantile,0.4,7295.583060265475,0-130
2024-12-15,1,inc hosp,US,quantile,0.45,7559.551345794824,0-130
2024-12-15,1,inc hosp,US,quantile,0.5,7826.061568700034,0-130
2024-12-15,1,inc hosp,US,quantile,0.55,8099.567848149948,0-130
2024-12-15,1,inc hosp,US,quantile,0.6,8387.964918254229,0-130
2024-12-15,1,inc hosp,US,quantile,0.65,8697.385250675576,0-130
2024-12-15,1,inc hosp,US,quantile,0.7,9038.907489759402,0-130
2024-12-15,1,inc hosp,US,quantile,0.75,9433.114786286247,0-130
2024-12-15,1,inc hosp,US,quantile,0.8,9908.01428256336,0-130
2024-12-15,1,inc hosp,US,quantile,0.85,10519.116429370599,0-130
2024-12-15,1,inc hosp,US,quantile,0.9,11397.426841506634,0-130
2024-12-15,1,inc hosp,US,quantile,0.95,12967.41680650306,0-130
2024-12-15,1,inc hosp,US,quantile,0.975,14702.753869898743,0-130
2024-12-15,1,inc hosp,US,quantile,0.99,17530.148423787472,0-130
2024-12-15,2,inc hosp,US,quantile,0.01,3087.245352759633,0-130
2024-12-15,2,inc hosp,US,quantile,0.025,4246.939065229188,0-130
2024-12-15,2,inc hosp,US,quantile,0.05,4998.600471764812,0-130
2024-12-15,2,inc hosp,US,quantile,0.1,5789.156484504825,0-130
2024-12-15,2,inc hosp,US,quantile,0.15,6307.605990869224,0-130
2024-12-15,2,inc hosp,US,quantile,0.2,6718.59941019058,0-130
2024-12-15,2,inc hosp,US,quantile,0.25,7073.697007181243,0-130
2024-12-15,2,inc hosp,US,quantile,0.3,7396.3867122905085,0-130
2024-12-15,2,inc hosp,US,quantile,0.35,7700.289053987079,0-130
2024-12-15,2,inc hosp,US,quantile,0.4,7994.7691911979,0-130
2024-12-15,2,inc hosp,US,quantile,0.45,8286.407604787613,0-130
2024-12-15,2,inc hosp,US,quantile,0.5,8581.828640054882,0-130
