origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-03-09,1,inc hosp,US,quantile,0.01,300.0,0-130
2025-03-09,1,inc hosp,US,quantile,0.025,300.0,0-130
2025-03-09,1,inc hosp,US,quantile,0.05,300.0,0-130
2025-03-09,1,inc hosp,US,quantile,0.1,360.1765084271716,0-130
2025-03-09,1,inc hosp,US,quantile,0.15,435.01835281493874,0-130
2025-03-09,1,inc hosp,US,quantile,0.2,723.534464330198,0-130
2025-03-09,1,inc hosp,US,quantile,0.25,1447.719978538358,0-130
2025-03-09,1,inc hosp,US,quantile,0.3,1863.4036162237487,0-130
2025-03-09,1,inc hosp,US,quantile,0.35,2189.6370003071547,0-130
2025-03-09,1,inc hosp,US,quantile,0.4,2476.7576255179133,0-130
2025-03-09,1,inc hosp,US,quantile,0.45,2744.6523177635286,0-130
2025-03-09,1,inc hosp,US,quantile,0.5,3004.082774362403,0-130
2025-03-09,1,inc hosp,US,quantile,0.55,3261.6014209064465,0-130
2025-03-09,1,inc hosp,US,quantile,0.6,3520.671648854427,0-130
2025-03-09,1,inc hosp,US,quantile,0.65,3785.458824026868,0-130
2025-03-09,1,inc hosp,US,quantile,0.7,4061.366097192719,0-130
2025-03-09,1,inc hosp,US,quantile,0.75,4356.566596813248,0-130
2025-03-09,1,inc hosp,US,quantile,0.8,4686.815820438245,0-130
2025-03-09,1,inc hosp,US,quantile,0.85,5084.479886685649,0-130
2025-03-09,1,inc hosp,US,quantile,0.9,5651.487918310652,0-130
2025-03-09,1,inc hosp,US,quantile,0.95,6778.732096265389,0-130
2025-03-09,1,inc hosp,US,quantile,0.975,8281.293377641203,0-130
2025-03-09,1,inc hosp,US,quantile,0.99,11208.882912494115,0-130
2025-03-09,2,inc hosp,US,quantile,0.01,300.0,0-130
2025-03-09,2,inc hosp,US,quantile,0.025,300.0,0-130
2025-03-09,2,inc hosp,US,quantile,0.05,301.02808313618846,0-130
2025-03-09,2,inc hosp,US,quantile,0.1,366.3553625274442,0-130
2025-03-09,2,inc hosp,US,quantile,0.15,446.00998790657644,0-130
