origin_date,horizon,target,location,output_type,output_type_id,value,age_group
2025-02-23,1,inc hosp,US,quantile,0.01,809.012185410181,0-130
2025-02-23,1,inc hosp,US,quantile,0.025,1154.6358951739332,0-130
2025-02-23,1,inc hosp,US,quantile,0.05,1481.484615932507,0-130
2025-02-23,1,inc hosp,US,quantile,0.1,1905.072223791211,0-130
2025-02-23,1,inc hosp,US,quantile,0.15,2227.5113325582006,0-130
2025-02-23,1,inc hosp,US,quantile,0.2,2510.1346321639444,0-130
2025-02-23,1,inc hosp,US,quantile,0.25,2774.104380882116,0-130
2025-02-23,1,inc hosp,US,quantile,0.3,3029.7211525103157,0-130
2025-02-23,1,inc hosp,US,quantile,0.35,3282.441284946221,0-130
2025-02-23,1,inc hosp,US,quantile,0.4,3535.9610975662313,0-130
2025-02-23,1,inc hosp,US,quantile,0.45,3793.4241352580757,0-130
2025-02-23,1,inc hosp,US,quantile,0.5,4058.7552039529364,0-130
2025-02-23,1,inc hosp,US,quantile,0.55,4336.348508685876,0-130
2025-02-23,1,inc hosp,US,quantile,0.6,4631.493322152142,0-130
2025-02-23,1,inc hosp,US,quantile,0.65,4951.205171482594,0-130
2025-02-23,1,inc hosp,US,quantile,0.7,5306.036802933184,0-130
2025-02-23,1,inc hosp,US,quantile,0.75,5716.30687396933,0-130
2025-02-23,1,inc hosp,US,quantile,0.8,6216.0013849423185,0-130
2025-02-23,1,inc hosp,US,quantile,0.85,6879.699015066914,0-130
2025-02-23,1,inc hosp,US,quantile,0.9,7888.162889476757,0-130
2025-02-23,1,inc hosp,US,quantile,0.95,9978.074482264226,0-130
2025-02-23,1,inc hosp,US,quantile,0.975,12865.595790336152,0-130
2025-02-23,1,inc hosp,US,quantile,0.99,18989.025603525228,0-130
2025-02-23,2,inc hosp,US,quantile,0.01,718.2384830727972,0-130
2025-02-23,2,inc hosp,US,quantile,0.025,1024.2813507916806,0-130
2025-02-23,2,inc hosp,US,quantile,0.05,1316.2993720221093,0-130
2025-02-23,2,inc hosp,US,quantile,0.1,1694.402363030362,0-130
2025-02-23,2,inc hosp,US,quantile,0.15,1980.1461780427078,0-130
2025-02-23,2,inc hosp,US,quantile,0.2,2228.0780715247192,0-130
2025-02-23,2,inc hosp,US,quantile,0.25,2457.2620723782456,0-130
2025-02-23,2,inc hosp,US,quantile,0.3,2677.1123237631746,0-130
2025-02-23,2,inc hosp,US,quantile,0.35,2893.0941024484036,0-130
2025-02-23,2,inc hosp,US,quantile,0.4,3108.9401123784983,0-130
2025-02-23,2,inc hosp,US,quantile,0.45,3328.1389813514807,0-130
2025-02-23,2,inc hosp,US,quantile,0.5,3554.7140659002544,0-130
2025-02-23,2,inc hosp,US,quantile,0.55,3792.711939781462,0-130
2025-02-23,2,inc hosp,US,quantile,0.6,4046.505476247238,0-130
2025-02-23,2,inc hosp,US,quantile,0.65,4321.888189142534,0-130
2025-02-23,2,inc hosp,US,quantile,0.7,4627.913594341698,0-130
2025-02-23,2,inc hosp,US,quantile,0.75,4980.9654097631965,0-130
2025-02-23,2,inc hosp,US,quantile,0.8,5409.467481960339,0-130
2025-02-23,2,inc hosp,US,quantile,0.85,5972.474558480569,0-130
2025-02-23,2,inc hosp,US,quantile,0.9,6816.340696474928,0-130
2025-02-23,2,inc hosp,US,quantile,0.95,8514.252704168943,0-130
2025-02-23,2,inc hosp,US,quantile,0.975,10764.755183907666,0-130
2025-02-23,2,inc hosp,US,quantile,0.99,15320.0865322037,0-130
2025-02-23,3,inc hosp,US,quantile,0.01,627.4647807354132,0-130
2025-02-23,3,inc hosp,US,quantile,0.025,893.9268064094277,0-130
2025-02-23,3,inc hosp,US,quantile,0.05,1151.1141281117114,0-130
2025-02-23,3,inc hosp,US,quantile,0.1,1483.7325022695131,0-130
2025-02-23,3,inc hosp,US,quantile,0.15,1732.781023527215,0-130
2025-02-23,3,inc hosp,US,quantile,0.2,1946.0215108854945,0-130
2025-02-23,3,inc hosp,US,quantile,0.25,2140.419763874376,0-130
2025-02-23,3,inc hosp,US,quantile,0.3,2324.5034950160334,0-130
2025-02-23,3,inc hosp,US,quantile,0.35,2503.7469199505863,0-130
2025-02-23,3,inc hosp,US,quantile,0.4,2681.919127190765,0-130
2025-02-23,3,inc hosp,US,quantile,0.45,2862.853827444886,0-130
2025-02-23,3,inc hosp,US,quantile,0.5,3050.672927847572,0-130
2025-02-23,3,inc hosp,US,quantile,0.55,3249.0753708770476,0-130
2025-02-23,3,inc hosp,US,quantile,0.6,3461.5176303423345,0-130
2025-02-23,3,inc hosp,US,quantile,0.65,3692.571206802475,0-130
2025-02-23,3,inc hosp,US,quantile,0.7,3949.790385750212,0-130
2025-02-23,3,inc hosp,US,quantile,0.75,4245.623945557063,0-130
2025-02-23,3,inc hosp,US,quantile,0.8,4602.93357897836,0-130
2025-02-23,3,inc hosp,US,quantile,0.85,5065.250101894223,0-130
2025-02-23,3,inc hosp,US,quantile,0.9,5744.5185034730985,0-130
2025-02-23,3,inc hosp,US,quantile,0.95,7050.430926073661,0-130
2025-02-23,3,inc hosp,US,quantile,0.975,8663.914577479181,0-130
2025-02-23,3,inc hosp,US,quantile,0.99,11651.147460882174,0-130
2025-02-23,4,inc hosp,US,quantile,0.01,627.4647807354132,0-130
2025-02-23,4,inc hosp,US,quantile,0.025,893.9268064094277,0-130
2025-02-23,4,inc hosp,US,quantile,0.05,1151.1141281117114,0-130
2025-02-23,4,inc hosp,US,quantile,0.1,1483.7325022695131,0-130
2025-02-23,4,inc hosp,US,quantile,0.15,1732.781023527215,0-130
2025-02-23,4,inc hosp,US,quantile,0.2,1946.0215108854945,0-130
2025-02-23,4,inc hosp,US,quantile,0.25,2140.419763874376,0-130
2025-02-23,4,inc hosp,US,quantile,0.3,2324.5034950160334,0-130
2025-02-23,4,inc hosp,US,quantile,0.35,2503.7469199505863,0-130
2025-02-23,4,inc hosp,US,quantile,0.4,2681.919127190765,0-130
2025-02-23,4,inc hosp,US,quantile,0.45,2862.853827444886,0-130
2025-02-23,4,inc hosp,US,quantile,0.5,3050.672927847572,0-130
2025-02-23,4,inc hosp,US,quantile,0.55,3249.0753708770476,0-130
2025-02-23,4,inc hosp,US,quantile,0.6,3461.5176303423345,0-130
2025-02-23,4,inc hosp,US,quantile,0.65,3692.571206802475,0-130
2025-02-23,4,inc hosp,US,quantile,0.7,3949.790385750212,0-130
2025-02-23,4,inc hosp,US,quantile,0.75,4245.623945557063,0-130
2025-02-23,4,inc hosp,US,quantile,0.8,4602.93357897836,0-130
2025-02-23,4,inc hosp,US,quantile,0.85,5065.250101894223,0-130
2025-02-23,4,inc hosp,US,quantile,0.9,5744.5185034730985,0-130
2025-02-23,4,inc hosp,US,quantile,0.95,7050.430926073661,0-130
2025-02-23,4,inc hosp,US,quantile,0.975,8663.914577479181,0-130
2025-02-23,4,inc hosp,US,quantile,0.99,11651.147460882174,0-130
